linkUrl,status,field_similarities,field_mismatches,missing_in_strapi,missing_in_contentful,detailed_diffs
choosing-the-right-grade-of-wire-rod-for-your-specific-application,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.921; metaDescription: 0.97; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.92); metaDescription (Similarity: 0.97); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to8__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to8__0""><a href=""#difflib_chg_to8__top"">t</a></td><td class=""diff_header"" id=""from8_1"">1</td><td nowrap=""nowrap"">choosing&nbsp;the&nbsp;right&nbsp;grade&nbsp;of&nbsp;wire&nbsp;rod&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;blog</td><td class=""diff_next""><a href=""#difflib_chg_to8__top"">t</a></td><td class=""diff_header"" id=""to8_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>choosing&nbsp;the&nbsp;right&nbsp;grade&nbsp;of&nbsp;wire&nbsp;rod&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;blog</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to9__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to9__0""><a href=""#difflib_chg_to9__top"">t</a></td><td class=""diff_header"" id=""from9_1"">1</td><td nowrap=""nowrap"">learn&nbsp;about&nbsp;different&nbsp;types&nbsp;of&nbsp;wire&nbsp;rods&nbsp;including&nbsp;carbon&nbsp;st</td><td class=""diff_next""><a href=""#difflib_chg_to9__top"">t</a></td><td class=""diff_header"" id=""to9_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>learn&nbsp;about&nbsp;different&nbsp;types&nbsp;of&nbsp;wire&nbsp;rods&nbsp;including&nbsp;carb</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">eel&nbsp;alloy&nbsp;steel&nbsp;stainless&nbsp;steel&nbsp;and&nbsp;high&nbsp;low&nbsp;carbon&nbsp;variants</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">on&nbsp;steel&nbsp;alloy&nbsp;steel&nbsp;stainless&nbsp;steel&nbsp;and&nbsp;high&nbsp;low&nbsp;carbon&nbsp;var</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">&nbsp;along&nbsp;with&nbsp;their&nbsp;applications</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">iants&nbsp;along&nbsp;with&nbsp;their&nbsp;applications</td></tr>
        </tbody>
    </table>"
types-of-pillar-construction-techniques-and-materials-they-require,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
5-benefits-of-steel-bumpers-for-off-road-enthusiasts,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-does-steel-in-rail-infrastructure-enhance-the-strength-of-tracks,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
challenges-and-solutions-for-building-climate-resilience-in-cement,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
different-methods-of-galvanisation-to-enhance-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-impact-of-impurities-and-alloying-elements-on-the-mechanical-properties,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cement-in-the-construction-of-high-rise-buildings-ensuring-structural,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
essential-precautions-for-storing-cement-during-monsoon-season,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
difference-between-renders-and-plasters-made-from-cement,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-signs-of-a-good-quality-tmt-bar,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-additives-in-concrete-improve-workability-and-durability,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-impact-of-micro-alloying-elements-on-the-properties-of-tmt-bars,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
concrete-spalling-causes-effects-and-repair,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
top-techniques-for-welding-tmt-bars,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-role-of-hot-rolled-steel-in-pre-engineered-buildings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
embracing-sustainability-exploring-green-construction-and-its-materials,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
colour-coated-steel-the-perfect-blend-of-aesthetics-and-sustainability,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-are-soil-analysis-and-site-preparation-for-installing-steel-support,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
welcome-to-jsw-one-msme-buy-steel-online,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
tips-for-properly-mounting-solar-panels-with-steel-rails,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
impact-of-tmt-bar-grades-on-seismic-performance-in-high-risk-zones,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
peb-technology-for-large-scale-agricultural-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-is-the-importance-of-proper-heat-treatment-in-steel-crankshaft,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
heat-treatments-and-their-impact-on-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
optimising-microstructure-in-hot-rolled-steel-for-springs,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-importance-of-steel-mounting-frames-in-solar-panel-installations,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
9-benefits-of-e-commerce-has-your-business-made-the-move-yet,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-galvalume-steel-supports-increased-energy-yield-in-solar-power,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-do-wire-rods-make-the-best-fasteners,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
why-cold-rolled-steel-is-essential-for-precision-auto-parts-manufacturing,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
budget-2025-a-defining-moment-for-the-construction-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
understanding-the-art-of-cold-rolling-of-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-fabrication-for-infrastructure,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
alkali-silica-reaction-in-cement-causes-and-mitigation-strategies,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
microstructural-analysis-of-tmt-bars-for-better-tensile-strength,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-estimate-the-cost-of-structural-steel-fabrication,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-steel-fabrication-techniques-influence-solar-panel-structure-quality,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
advantages-of-stainless-steel-for-fabrication-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.0; metaDescription: 0.0; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.00); metaDescription (Similarity: 0.00); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to10__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to10__0""><a href=""#difflib_chg_to10__top"">t</a></td><td class=""diff_header"" id=""from10_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to10__top"">t</a></td><td class=""diff_header"" id=""to10_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;steel&nbsp;online&nbsp;industrial&nbsp;materials&nbsp;marketplace&nbsp;jsw&nbsp;one&nbsp;ms</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">me</span></td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to11__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to11__0""><a href=""#difflib_chg_to11__top"">t</a></td><td class=""diff_header"" id=""from11_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to11__top"">t</a></td><td class=""diff_header"" id=""to11_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;the&nbsp;best&nbsp;quality&nbsp;steel&nbsp;welding&nbsp;consumables&nbsp;tmt&nbsp;and&nbsp;cemen</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">t&nbsp;online&nbsp;at&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;the&nbsp;online&nbsp;marketplace&nbsp;for&nbsp;manufact</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">uring&nbsp;construction&nbsp;material&nbsp;requirements</span></td></tr>
        </tbody>
    </table>"
why-choosing-quality-over-price-matters-when-it-comes-to-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
understanding-cement-cracks-causes-and-effective-solutions,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-are-the-advantages-and-uses-of-opc-cement,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
what-is-slab-beam-column-and-footing-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-get-the-perfect-mirror-finish-for-stainless-steel,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
benefits-of-using-crs-tmt-bars-in-coastal-construction-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-enhance-the-durability-of-fasteners-using-steel-coatings,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
understanding-mild-steel-a-technical-guide,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-solutions-for-meeting-emission-standards-in-the-auto-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.936; metaDescription: 0.972; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.94); metaDescription (Similarity: 0.97); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to12__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to12__0""><a href=""#difflib_chg_to12__top"">t</a></td><td class=""diff_header"" id=""from12_1"">1</td><td nowrap=""nowrap"">steel&nbsp;solutions&nbsp;for&nbsp;meeting&nbsp;emission&nbsp;standards&nbsp;in&nbsp;the&nbsp;auto&nbsp;i</td><td class=""diff_next""><a href=""#difflib_chg_to12__top"">t</a></td><td class=""diff_header"" id=""to12_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">test&nbsp;</span>steel&nbsp;solutions&nbsp;for&nbsp;meeting&nbsp;emission&nbsp;standards&nbsp;in&nbsp;the&nbsp;a</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ndustry&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;blog</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">uto&nbsp;industry&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;blog</td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to13__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to13__0""><a href=""#difflib_chg_to13__top"">t</a></td><td class=""diff_header"" id=""from13_1"">1</td><td nowrap=""nowrap""><span class=""diff_chg"">learn</span>&nbsp;how&nbsp;msmes&nbsp;in&nbsp;the&nbsp;auto&nbsp;industry&nbsp;can&nbsp;leverage&nbsp;advanced&nbsp;s</td><td class=""diff_next""><a href=""#difflib_chg_to13__top"">t</a></td><td class=""diff_header"" id=""to13_1"">1</td><td nowrap=""nowrap""><span class=""diff_chg"">test&nbsp;learn</span>&nbsp;how&nbsp;msmes&nbsp;in&nbsp;the&nbsp;auto&nbsp;industry&nbsp;can&nbsp;leverage&nbsp;advan</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">teel&nbsp;grades&nbsp;to&nbsp;meet&nbsp;evolving&nbsp;emission&nbsp;standards&nbsp;discover&nbsp;lig</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ced&nbsp;steel&nbsp;grades&nbsp;to&nbsp;meet&nbsp;evolving&nbsp;emission&nbsp;standards&nbsp;discove</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">htweight&nbsp;durable&nbsp;and&nbsp;sustainable&nbsp;steel&nbsp;solutions&nbsp;tailored&nbsp;fo</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">r&nbsp;lightweight&nbsp;durable&nbsp;and&nbsp;sustainable&nbsp;steel&nbsp;solutions&nbsp;tailor</td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">r&nbsp;traditional&nbsp;and&nbsp;electric&nbsp;vehicles</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap"">ed&nbsp;for&nbsp;traditional&nbsp;and&nbsp;electric&nbsp;vehicles</td></tr>
        </tbody>
    </table>"
how-to-manage-cash-flow-effectively-in-slower-business-periods,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
practical-tips-to-optimise-cash-rotation-for-msmes-in-the-steel-industry,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
cement-in-railway-infrastructure,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
budget-2025-msmes-key-changes-and-strategic-insights,❌ Mismatch,content: 0.998; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
heat-treated-steel-in-engine-components-benefits-and-applications,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
basics-you-need-to-know-about-peb-industrial-shed-and-factory-building,❌ Missing,,,❌,,
best-practices-for-column-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-to-select-the-right-welding-rod,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 0.0; metaDescription: 0.0; categoryName: 1.0; timeDuration: 0.0,metaTitle (Similarity: 0.00); metaDescription (Similarity: 0.00); timeDuration (Exact match required),,,"metaTitle:

    <table class=""diff"" id=""difflib_chg_to14__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaTitle</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaTitle</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to14__0""><a href=""#difflib_chg_to14__top"">t</a></td><td class=""diff_header"" id=""from14_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to14__top"">t</a></td><td class=""diff_header"" id=""to14_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;steel&nbsp;online&nbsp;industrial&nbsp;materials&nbsp;marketplace&nbsp;jsw&nbsp;one&nbsp;ms</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">me</span></td></tr>
        </tbody>
    </table>
metaDescription:

    <table class=""diff"" id=""difflib_chg_to15__top""
           cellspacing=""0"" cellpadding=""0"" rules=""groups"" >
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <colgroup></colgroup> <colgroup></colgroup> <colgroup></colgroup>
        <thead><tr><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Contentful metaDescription</th><th class=""diff_next""><br /></th><th colspan=""2"" class=""diff_header"">Strapi metaDescription</th></tr></thead>
        <tbody>
            <tr><td class=""diff_next"" id=""difflib_chg_to15__0""><a href=""#difflib_chg_to15__top"">t</a></td><td class=""diff_header"" id=""from15_1"">1</td><td nowrap=""nowrap""><span class=""diff_sub"">n&nbsp;a</span></td><td class=""diff_next""><a href=""#difflib_chg_to15__top"">t</a></td><td class=""diff_header"" id=""to15_1"">1</td><td nowrap=""nowrap""><span class=""diff_add"">buy&nbsp;the&nbsp;best&nbsp;quality&nbsp;steel&nbsp;welding&nbsp;consumables&nbsp;tmt&nbsp;and&nbsp;cemen</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">t&nbsp;online&nbsp;at&nbsp;jsw&nbsp;one&nbsp;msme&nbsp;the&nbsp;online&nbsp;marketplace&nbsp;for&nbsp;manufact</span></td></tr>
            <tr><td class=""diff_next""></td><td class=""diff_header""></td><td nowrap=""nowrap"">&nbsp;</td><td class=""diff_next""></td><td class=""diff_header"">></td><td nowrap=""nowrap""><span class=""diff_add"">uring&nbsp;construction&nbsp;material&nbsp;requirements</span></td></tr>
        </tbody>
    </table>"
how-to-avoid-the-cracks-in-a-wall-or-column-for-high-strength-concrete,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
tmt-bars-in-residential-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
a-guide-for-contractors-to-ensure-quality-in-construction,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
steel-column-reinforcement-techniques-for-seismic-resistance,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
how-do-you-restore-galvanised-metal,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
iso-certification-9000-versus-9001-what-is-the-difference-iso-certifications,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-advantages-of-using-hot-rolled-steel-in-large-scale-peb-projects,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-effect-of-strain-rate-and-temperature-on-the-mechanical-behaviour-of,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 0.0; timeDuration: 1.0,categoryName (Exact match required),,,
how-can-you-safeguard-steel-mounting-frames-against-wind-to-ensure-stability,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
the-advantages-of-peb-structures-for-industrial-applications,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
8-common-concrete-problems-and-how-to-solve-them,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
different-types-of-stainless-steel-grades,❌ Mismatch,content: 1.0; title: 1.0; metaTitle: 1.0; metaDescription: 1.0; categoryName: 1.0; timeDuration: 0.0,timeDuration (Exact match required),,,
